,candidate,state_name,state,votes_total
0,,Alaska,,
1,,Alabama,,
2,,Arkansas,,
3,,Arizona,,
4,Bernie Sanders,California,CA,596311071.0
352,Hillary Clinton,California,CA,985814640.0
700,Ted Cruz,California,CA,45255250.0
2904,John Kasich,California,CA,22430740.0
4006,Donald Trump,California,CA,881121750.0
121572,Bernie Sanders,Colorado,CO,145654200.0
230436,Hillary Clinton,Colorado,CO,59698272.0
328740,,Connecticut,,
328741,,District of Columbia,,
328742,,Delaware,,
328743,Bernie Sanders,Florida,FL,308798635.0
337319,Marco Rubio,Florida,FL,1184811233.0
364588,Ted Cruz,Florida,FL,3229120.0
365057,John Kasich,Florida,FL,89748956.0
402644,Hillary Clinton,Florida,FL,412622400.0
406262,Donald Trump,Florida,FL,1697700296.0
658986,,Georgia,,
658987,,Hawaii,,
658988,Marco Rubio,Iowa,IA,149735916.0
705518,Bernie Sanders,Iowa,IA,788905268.0
759968,Hillary Clinton,Iowa,IA,738821135.0
875105,Ted Cruz,Iowa,IA,156073923.0
1368224,Donald Trump,Iowa,IA,123312585.0
1903616,John Kasich,Iowa,IA,2166528.0
2065085,Jeb Bush,Iowa,IA,3247560.0
2083400,Carly Fiorina,Iowa,IA,3485.0
3523850,Mike Huckabee,Iowa,IA,1371450.0
3907574,,Idaho,,
3907575,,Illinois,,
3907576,,Indiana,,
3907577,,Kansas,,
3907578,,Kentucky,,
3907579,,Louisiana,,
3907580,,Massachusetts,,
3907581,,Maryland,,
3907582,,Maine,,
3907583,,Michigan,,
3907584,,Minnesota,,
3907585,,Missouri,,
3907586,,Mississippi,,
3907587,,Montana,,
3907588,Marco Rubio,North Carolina,NC,2020734.0
3907688,Bernie Sanders,North Carolina,NC,226935788.0
3926988,Ted Cruz,North Carolina,NC,1674960.0
3944988,John Kasich,North Carolina,NC,865794.0
3955188,Hillary Clinton,North Carolina,NC,547964487.0
3955788,Donald Trump,North Carolina,NC,194714175.0
4091588,,North Dakota,,
4091589,,Nebraska,,
4091590,,New Hampshire,,
4091591,,New Jersey,,
4091592,,New Mexico,,
4091593,Hillary Clinton,Nevada,NV,26940584.0
4102966,Ted Cruz,Nevada,NV,4823700.0
4103000,Marco Rubio,Nevada,NV,2260440.0
4103034,Bernie Sanders,Nevada,NV,33152157.0
4123740,Donald Trump,Nevada,NV,23135770.0
4148492,John Kasich,Nevada,NV,8127.0
4282928,Bernie Sanders,New York,NY,622227235.0
4291608,Donald Trump,New York,NY,10498640.0
4291670,Ted Cruz,New York,NY,883057.0
4294026,John Kasich,New York,NY,871616.0
4298118,Hillary Clinton,New York,NY,702019278.0
4376672,Marco Rubio,Ohio,OH,1188360.0
4376848,Bernie Sanders,Ohio,OH,770323500.0
4431848,Ted Cruz,Ohio,OH,1070368.0
4432464,Hillary Clinton,Ohio,OH,1130977890.0
4459480,Donald Trump,Ohio,OH,555147355.0
4506736,John Kasich,Ohio,OH,619981776.0
4781472,,Oklahoma,,
4781473,,Oregon,,
4781474,Ted Cruz,Pennsylvania,PA,1360804.0
4781541,Bernie Sanders,Pennsylvania,PA,678917565.0
4793936,Donald Trump,Pennsylvania,PA,333870548.0
4803182,John Kasich,Pennsylvania,PA,2438344.0
4817051,Hillary Clinton,Pennsylvania,PA,745975468.0
4924921,,Rhode Island,,
4924922,Ted Cruz,South Carolina,SC,286734600.0
4925014,Marco Rubio,South Carolina,SC,601650387.0
4935364,Bernie Sanders,South Carolina,SC,132928145.0
4972302,Donald Trump,South Carolina,SC,124002967.0
4987298,John Kasich,South Carolina,SC,40693144.0
4987344,Jeb Bush,South Carolina,SC,90150554.0
5180958,Hillary Clinton,South Carolina,SC,544114056.0
5456452,,South Dakota,,
5456453,,Tennessee,,
5456454,,Texas,,
5456455,,Utah,,
5456456,Marco Rubio,Virginia,VA,19295478.0
5456589,Donald Trump,Virginia,VA,40579440.0
5456722,Ted Cruz,Virginia,VA,865965.0
5457121,Bernie Sanders,Virginia,VA,1928549.0
5457254,John Kasich,Virginia,VA,579114.0
5457786,Hillary Clinton,Virginia,VA,179195448.0
5529207,,Vermont,,
5529208,,Washington,,
5529209,,Wisconsin,,
5529210,,West Virginia,,
5529211,,Wyoming,,
